,azienda,p.iva,provincia,regione,fatturato,sistema,dimensione
5,POLTRONA FRAU SPA,5079060017,Monza e della Brianza,Lombardia,163193000,Sistema ARREDAMENTO,grande
9,MOLTENI E C.- SPA,694950965,Monza e della Brianza,Lombardia,145417171,Sistema ARREDAMENTO,grande
10,CHATEAU D AX SPA,682600960,Monza e della Brianza,Lombardia,144462851,Sistema ARREDAMENTO,grande
17,MINOTTI SPA,683370969,Monza e della Brianza,Lombardia,113894021,Sistema ARREDAMENTO,grande
20,CASSINA SPA,976180968,Monza e della Brianza,Lombardia,107060933,Sistema ARREDAMENTO,grande
31,FLEXFORM SPA,695310961,Monza e della Brianza,Lombardia,69679810,Sistema ARREDAMENTO,grande
48,BOFFI SPA (MB),2642250969,Monza e della Brianza,Lombardia,49277513,Sistema ARREDAMENTO,media
55,GIORGETTI SPA,695300962,Monza e della Brianza,Lombardia,43667553,Sistema ARREDAMENTO,media
67,BAXTER SRL,913080966,Monza e della Brianza,Lombardia,37981607,Sistema ARREDAMENTO,media
96,CAP DESIGN SPA,4311900965,Monza e della Brianza,Lombardia,27935275,Sistema ARREDAMENTO,media
102,FLOU SPA,779080969,Monza e della Brianza,Lombardia,25552326,Sistema ARREDAMENTO,media
130,MERIDIANI SRL,6926770964,Monza e della Brianza,Lombardia,19861276,Sistema ARREDAMENTO,media
143,LIVING DIVANI SRL,786120964,Monza e della Brianza,Lombardia,18220000,Sistema ARREDAMENTO,media
158,ZANOTTA SPA,695980961,Monza e della Brianza,Lombardia,16106441,Sistema ARREDAMENTO,media
178,LONGHI SPA,687180968,Monza e della Brianza,Lombardia,14721275,Sistema ARREDAMENTO,media
199,CAIMI BREVETTI SPA,889250965,Monza e della Brianza,Lombardia,12992669,Sistema ARREDAMENTO,media
240,S.75 SPA,733420962,Monza e della Brianza,Lombardia,10326779,Sistema ARREDAMENTO,media
243,IND VETRARIA EMAR,2894600960,Monza e della Brianza,Lombardia,10182701,Sistema ARREDAMENTO,media
1651,ARES SRL,844570960,Monza e della Brianza,Lombardia,21332441,Sistema ILLUMINAZIONE,media
1658,REGGIANI SPA ILLUMINAZIONE,813220969,Monza e della Brianza,Lombardia,16493417,Sistema ILLUMINAZIONE,media
1659,FAEL SPA O FAELLUCE SPA,11966710151,Monza e della Brianza,Lombardia,16074551,Sistema ILLUMINAZIONE,media
1661,QUATTROBI SRL,2762740963,Monza e della Brianza,Lombardia,15393886,Sistema ILLUMINAZIONE,media
1663,S.I.D.E. SPA,827650961,Monza e della Brianza,Lombardia,15252108,Sistema ILLUMINAZIONE,media
1910,INTERNATIONAL OFFICE,2228330961,Monza e della Brianza,Lombardia,15227699,Sistema UFFICIO,media
1920,G. E. GIUSSANI SRL,2177880966,Monza e della Brianza,Lombardia,11997741,Sistema UFFICIO,media
1924,I.V.M. SPA,697630960,Monza e della Brianza,Lombardia,11047820,Sistema UFFICIO,media
